dataset_name,n,repository_id,lc_mode,column,dimensions_mm,particle_um,column_temperature_C,flow_mL_min,mobile_phase_A,mobile_phase_B,gradient_program,primary_source,metadata_note
SMRT retained/full,70182+7798,SMRT,RP,"Agilent Zorbax Extend-C18","50 x 2.1",1.8,NR,0.10,"Water + 0.1% formic acid","Acetonitrile + 0.1% formic acid","5% B for 3 min; to 50% B over 2 min; to 85% B over 15 min; hold 85% B for 3 min","10.1038/s41467-019-13680-7","Dead volume 40 uL; dwell volume 900 uL; temperature not reported in the article Methods"
FEM-short,73,RepoRT-0001,RP,"Waters ACQUITY UPLC HSS T3","150 x 2.1",1.8,40,0.28,"Water + 0.1% formic acid (reported pH 3)","Methanol + 0.1% formic acid (reported pH 3)","0 min 100:0 A:B; 1 min 100:0; 3 min 90:10; 18 min 60:40; 21-25.5 min 0:100; 25.6-28 min 100:0","10.1007/s11306-014-0638-x","RepoRT notes a guard column"
FEM-long,412,RepoRT-0002,RP,"Waters ACQUITY UPLC HSS T3","100 x 2.1",1.8,30,0.30,"Water + 0.1% formic acid (reported pH 3)","Methanol + 0.1% formic acid (reported pH 3)","0-6 min 100:0 A:B; 6-56 min linear to 0:100; hold to 60 min","10.1007/s11306-011-0298-z","Complete method metadata available in RepoRT"
IPB-Halle,82,RepoRT-0003,RP,"Waters ACQUITY UPLC HSS T3","100 x 1.0",1.8,NR,NR,"Water + 0.1% formic acid (reported pH 3)","Acetonitrile + 0.1% formic acid (reported pH 3)","0-1 min 95:5 A:B; 1-16 min to 5:95; hold to 18 min; return to 95:5 by 20 min","10.1007/s00216-013-6954-6; 10.1016/j.phytochem.2014.10.003","Temperature and flow rate are not reported in RepoRT"
MTBLS87,147,RepoRT-0007,HILIC,"Merck SeQuant ZIC-pHILIC","150 x 2.1",5,NR,0.10,"Acetonitrile","Water + 10 mM ammonium formate","0 min 80:20 A:B; 30 min 20:80","10.1039/C4MB00346B","Column temperature is not reported in RepoRT"
FEM-lipids,72,RepoRT-0010,RP,"Merck Supelco Ascentis Express C18","150 x 2.1",2.7,55,0.26,"60% water/40% acetonitrile + 0.1% formic acid + 10 mM ammonium formate","10% water/90% acetonitrile + 0.1% formic acid + 10 mM ammonium formate","0-1.5 min 68:32 A:B; 4 min 55:45; 5 min 48:52; 8 min 42:58; 11 min 34:66; 14 min 30:70; 18 min 25:75; 21-25 min 3:97; re-equilibrate to 68:32 by 25.1-30 min","10.1016/j.talanta.2015.03.003","Complete method metadata available in RepoRT"
UniToyama-Atlantis,143,RepoRT-0018,RP,"Waters Atlantis T3","150 x 2.1",5,NR,NR,"Water + 0.1% formic acid (reported pH 3)","Acetonitrile + 0.1% formic acid (reported pH 3)",NR,"MassBank/RepoRT","Temperature, flow rate, and gradient program are not available in RepoRT"
Eawag-XBridgeC18,364,RepoRT-0019,RP,"Waters XBridge C18","50 x 2.1",3.5,30,0.20,"Water + 0.1% formic acid (reported pH 3)","Methanol + 0.1% formic acid (reported pH 3)","0 min 90:10 A:B; 4 min 50:50; 17-25 min 5:95; 25.1-30 min 90:10","10.1021/es4044374; 10.1002/jms.3131","Complete method metadata available in RepoRT"
Cao-HILIC,116,RepoRT-0020,HILIC,"Merck SeQuant ZIC-pHILIC","100 x 2.1",5,25,NR,"Composition not completely reported in RepoRT","Composition not completely reported in RepoRT","0-1 min 97:3 A:B; 12 min 70:30; 14.5-17 min 10:90; 18.5-24 min 97:3","10.1007/s11306-014-0727-x","RepoRT flags unknown solvent amount and missing flow rate"
LIFE-old,194,RepoRT-0054,RP,"Waters ACQUITY UPLC BEH C18","100 x 2.1",1.7,NR,NR,"Water + 0.1% formic acid (reported pH 3)","80% acetonitrile/20% acetone + 0.1% formic acid (reported pH 3)","0 min 100:0 A:B; 6 min 0:100","10.1016/j.aca.2011.12.065","Temperature and flow rate are not reported in RepoRT"
LIFE-new,184,RepoRT-0055,RP,"Waters ACQUITY UPLC HSS T3","100 x 2.1",1.8,NR,"0.5-1.2","Water + 0.1% formic acid (reported pH 3)","30% water/70% acetonitrile + 0.1% formic acid (reported pH 3)","0 min 95:5 A:B at 0.5; 1 min 92:8 at 0.5; 2 min 85:15 at 0.6; 3 min 60:40 at 0.7; 4 min 30:70 at 0.8; 4.5 min 0:100 at 1.0; 5-6.4 min 0:100 at 1.2; re-equilibrate to 95:5 by 6.6-7 min","10.1016/j.aca.2011.12.065","Flow is programmed and therefore reported as a range"
