method,n_queries,n_candidate_rows_before,n_candidate_rows_after,candidate_reduction_pct,true_retention_pct,top1_before_pct,top1_after_pct,top5_before_pct,top5_after_pct,top10_before_pct,top10_after_pct,mean_true_abs_rt_delta,median_true_abs_rt_delta,max_true_abs_rt_delta,threshold_sec,guard_k,tau,alpha
original_msfinder_rank,45,3023,3023,0.0,100.0,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,,,,
hard_rt_filter_th50.0,45,3023,733,75.7525636784651,68.88888888888889,44.44444444444444,42.22222222222222,75.55555555555556,62.22222222222222,84.44444444444444,66.66666666666666,55.2260390516493,30.732348632812545,298.8437744140625,50.0,,,
hard_rt_filter_th60.0,45,3023,859,71.584518690043,73.33333333333333,44.44444444444444,42.22222222222222,75.55555555555556,62.22222222222222,84.44444444444444,68.88888888888889,55.2260390516493,30.732348632812545,298.8437744140625,60.0,,,
hard_rt_filter_th75.17,45,3023,1014,66.45716175984121,77.77777777777779,44.44444444444444,46.666666666666664,75.55555555555556,64.44444444444444,84.44444444444444,73.33333333333333,55.2260390516493,30.732348632812545,298.8437744140625,75.17,,,
hard_rt_filter_th90.0,45,3023,1153,61.85908038372477,84.44444444444444,44.44444444444444,53.333333333333336,75.55555555555556,71.11111111111111,84.44444444444444,80.0,55.2260390516493,30.732348632812545,298.8437744140625,90.0,,,
hard_rt_filter_th100.0,45,3023,1236,59.11346344690705,84.44444444444444,44.44444444444444,53.333333333333336,75.55555555555556,71.11111111111111,84.44444444444444,80.0,55.2260390516493,30.732348632812545,298.8437744140625,100.0,,,
hard_rt_filter_th120.0,45,3023,1384,54.2176645716176,84.44444444444444,44.44444444444444,53.333333333333336,75.55555555555556,71.11111111111111,84.44444444444444,77.77777777777779,55.2260390516493,30.732348632812545,298.8437744140625,120.0,,,
hard_rt_filter_th136.34,45,3023,1498,50.44657624875951,88.88888888888889,44.44444444444444,46.666666666666664,75.55555555555556,75.55555555555556,84.44444444444444,82.22222222222221,55.2260390516493,30.732348632812545,298.8437744140625,136.34,,,
hard_rt_filter_th150.0,45,3023,1592,47.337082368508106,88.88888888888889,44.44444444444444,46.666666666666664,75.55555555555556,75.55555555555556,84.44444444444444,82.22222222222221,55.2260390516493,30.732348632812545,298.8437744140625,150.0,,,
hard_rt_filter_th179.84,45,3023,1805,40.29110155474694,93.33333333333333,44.44444444444444,46.666666666666664,75.55555555555556,75.55555555555556,84.44444444444444,86.66666666666667,55.2260390516493,30.732348632812545,298.8437744140625,179.84,,,
hard_rt_filter_th185.31,45,3023,1838,39.199470724445916,93.33333333333333,44.44444444444444,46.666666666666664,75.55555555555556,75.55555555555556,84.44444444444444,86.66666666666667,55.2260390516493,30.732348632812545,298.8437744140625,185.31,,,
hard_rt_filter_th200.0,45,3023,1925,36.32153489910685,93.33333333333333,44.44444444444444,46.666666666666664,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,200.0,,,
hard_rt_filter_th214.28,45,3023,2001,33.80747601720145,97.77777777777777,44.44444444444444,48.888888888888886,75.55555555555556,77.77777777777779,84.44444444444444,86.66666666666667,55.2260390516493,30.732348632812545,298.8437744140625,214.28,,,
hard_rt_filter_th250.0,45,3023,2165,28.382401587826664,97.77777777777777,44.44444444444444,48.888888888888886,75.55555555555556,77.77777777777779,84.44444444444444,86.66666666666667,55.2260390516493,30.732348632812545,298.8437744140625,250.0,,,
hard_rt_filter_th300.0,45,3023,2322,23.18888521336421,100.0,44.44444444444444,46.666666666666664,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,300.0,,,
hard_rt_filter_th400.0,45,3023,2595,14.158121071782997,100.0,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,400.0,,,
hard_rt_filter_th500.0,45,3023,2776,8.170691366192523,100.0,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,500.0,,,
rank_guard_filter_th50.0_g1,45,3023,756,74.99173006946742,80.0,44.44444444444444,44.44444444444444,75.55555555555556,71.11111111111111,84.44444444444444,75.55555555555556,55.2260390516493,30.732348632812545,298.8437744140625,50.0,1.0,,
rank_guard_filter_th50.0_g2,45,3023,785,74.03241812768773,88.88888888888889,44.44444444444444,44.44444444444444,75.55555555555556,80.0,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,50.0,2.0,,
rank_guard_filter_th50.0_g3,45,3023,814,73.07310618590803,91.11111111111111,44.44444444444444,44.44444444444444,75.55555555555556,82.22222222222221,84.44444444444444,86.66666666666667,55.2260390516493,30.732348632812545,298.8437744140625,50.0,3.0,,
rank_guard_filter_th50.0_g5,45,3023,867,71.31988091300033,91.11111111111111,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,50.0,5.0,,
rank_guard_filter_th50.0_g10,45,3023,1008,66.65564009262322,95.55555555555556,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,50.0,10.0,,
rank_guard_filter_th60.0_g1,45,3023,879,70.92292424743633,84.44444444444444,44.44444444444444,44.44444444444444,75.55555555555556,73.33333333333333,84.44444444444444,80.0,55.2260390516493,30.732348632812545,298.8437744140625,60.0,1.0,,
rank_guard_filter_th60.0_g2,45,3023,904,70.09593119417796,91.11111111111111,44.44444444444444,44.44444444444444,75.55555555555556,80.0,84.44444444444444,86.66666666666667,55.2260390516493,30.732348632812545,298.8437744140625,60.0,2.0,,
rank_guard_filter_th60.0_g3,45,3023,933,69.13661925239828,93.33333333333333,44.44444444444444,44.44444444444444,75.55555555555556,82.22222222222221,84.44444444444444,88.88888888888889,55.2260390516493,30.732348632812545,298.8437744140625,60.0,3.0,,
rank_guard_filter_th60.0_g5,45,3023,984,67.44955342375124,93.33333333333333,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,86.66666666666667,55.2260390516493,30.732348632812545,298.8437744140625,60.0,5.0,,
rank_guard_filter_th60.0_g10,45,3023,1118,63.01687065828647,95.55555555555556,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,60.0,10.0,,
rank_guard_filter_th75.17_g1,45,3023,1033,65.82864703936487,88.88888888888889,44.44444444444444,44.44444444444444,75.55555555555556,75.55555555555556,84.44444444444444,84.44444444444444,55.2260390516493,30.732348632812545,298.8437744140625,75.17,1.0,,
