stage4_index,dataset_group,dataset_name,source_file,source_row,record_id,name,origin_smiles,taut_smiles,rt,formula,inchikey,canonical_smiles,taut_changed,taut_fallback,taut_reason,smrt_exact_overlap
0,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,0,Cao_HILIC_116_0,,N=C(N)O,NC(N)=O,429.6,CH4N2O,XSQUKJJJFZCRTK-UHFFFAOYSA-N,N=C(N)O,1.0,0,ok,0
1,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,1,Cao_HILIC_116_1,,CCN=C(O)CCC(N)C(=O)O,CCNC(=O)CCC(N)C(=O)O,636.5999999999999,C7H14N2O3,DATAGRPVKZEWHA-UHFFFAOYSA-N,CCN=C(O)CCC(N)C(=O)O,1.0,0,ok,0
2,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,2,Cao_HILIC_116_2,,Cc1ncc(CO)c(CO)c1O,Cc1ncc(CO)c(CO)c1O,552.6,C8H11NO3,LXNHXLLTXMVWPM-UHFFFAOYSA-N,Cc1ncc(CO)c(CO)c1O,0.0,0,ok,0
3,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,3,Cao_HILIC_116_3,,CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,63.6,C16H22O11,LPTITAGPBXDDGR-UHFFFAOYSA-N,CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,0.0,0,ok,0
4,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,4,Cao_HILIC_116_4,,COC(C)C(N)C(=O)O,COC(C)C(N)C(=O)O,624.6,C5H11NO3,FYCWLJLGIAUCCL-UHFFFAOYSA-N,COC(C)C(N)C(=O)O,0.0,0,ok,0
5,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,5,Cao_HILIC_116_5,,N=C(O)Cc1c[nH]c2ccccc12,NC(=O)Cc1c[nH]c2ccccc12,148.8,C10H10N2O,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,N=C(O)Cc1c[nH]c2ccccc12,1.0,0,ok,0
6,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,6,Cao_HILIC_116_6,,O=C(O)C1CCNCC1,O=C(O)C1CCNCC1,660.0,C6H11NO2,SRJOCJYGOFTFLH-UHFFFAOYSA-N,O=C(O)C1CCNCC1,0.0,0,ok,0
7,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,7,Cao_HILIC_116_7,,OCCNCCO,OCCNCCO,681.0,C4H11NO2,ZBCBWPMODOFKDW-UHFFFAOYSA-N,OCCNCCO,0.0,0,ok,0
8,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,8,Cao_HILIC_116_8,,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,87.6,C14H16N2O2,JRBJSXQPQWSCCF-UHFFFAOYSA-N,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,0.0,0,ok,0
9,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,9,Cao_HILIC_116_9,,c1c[nH]cn1,c1c[nH]cn1,621.5999999999999,C3H4N2,RAXXELZNTBOGNW-UHFFFAOYSA-N,c1c[nH]cn1,0.0,0,ok,0
10,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,10,Cao_HILIC_116_10,,N=C(O)CCC(N)C(=O)O,NC(=O)CCC(N)C(=O)O,774.0,C5H10N2O3,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,N=C(O)CCC(N)C(=O)O,1.0,0,ok,0
11,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,11,Cao_HILIC_116_11,,CC(O)C(N)C(=O)O,CC(O)C(N)C(=O)O,750.0,C4H9NO3,AYFVYJQAPQTCCC-UHFFFAOYSA-N,CC(O)C(N)C(=O)O,0.0,0,ok,0
12,predret10,Cao_HILIC_116,external_data/predret10/smiles_rt_txt/Cao_HILIC_116.txt,12,Cao_HILIC_116_12,,NC(CO)C(=O)O,NC(CO)C(=O)O,795.0,C3H7NO3,MTCFGRXMJLQNBG-UHFFFAOYSA-N,NC(CO)C(=O)O,0.0,0,ok,0
