smile,rt
N=C(N)O,999.0
CCN=C(O)CCC(N)C(=O)O,999.0
Cc1ncc(CO)c(CO)c1O,999.0
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,999.0
COC(C)C(N)C(=O)O,999.0
N=C(O)Cc1c[nH]c2ccccc12,999.0
O=C(O)C1CCNCC1,999.0
OCCNCCO,999.0
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,999.0
c1c[nH]cn1,999.0
N=C(O)CCC(N)C(=O)O,999.0
CC(O)C(N)C(=O)O,999.0
NC(CO)C(=O)O,999.0
Oc1ncnc2[nH]cnc12,999.0
NC(CCO)C(=O)O,999.0
O=c1c2ccccc2oc2ccccc12,999.0
NC(Cc1c[nH]c2ccccc12)C(=O)O,999.0
CCC(C)C(N)C(=O)O,999.0
COc1ccc2[nH]cc(CCN)c2c1,999.0
c1cnc2[nH]ccc2c1,999.0
CN(C)c1ccc(C=CC=O)cc1,999.0
CC(C)CC(N)C(=O)O,999.0
CC(N)C(=O)O,999.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,999.0
O=C(CO)C(OC1OC(CO)C(O)C(O)C1O)C(O)C(O)CO,999.0
NC(CS)C(=O)O,999.0
CC(O)C(=O)O,999.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(N=C(C)O)CC2,999.0
N=C(N)NCCCC(N)C(=O)O,999.0
O=C(O)C1CCCN1,999.0
NCCCCC(N)C(=O)O,999.0
N=C(O)CC(N)C(=O)O,999.0
CN1C=C[C](c2ccccc2)c2ccccc21,999.0
CN1CC(O)=NC1=N,999.0
N=c1nc(O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,999.0
NC(CCC(=O)O)C(=O)O,999.0
Nc1ccc(C(=O)NCC(=O)O)cc1,999.0
NC(CC(=O)O)C(=O)O,999.0
NC(Cc1ccccc1)C(=O)O,999.0
CC(C)C(N)C(=O)O,999.0
NC(Cc1cnc[nH]1)C(=O)O,999.0
NC(Cc1ccc(O)cc1)C(=O)O,999.0
NC(CCC(=O)O)C(=O)O,999.0
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,999.0
Nc1ccccc1C(=O)CC(N)C(=O)O,999.0
CN(C)Cc1ccccc1,999.0
O=C(O)c1cc(O)c2cccc(O)c2n1,999.0
C(=NC1CCCCC1)=NC1CCCCC1,999.0
C1COCCN1,999.0
CC(N)(CO)CO,999.0
O=C(O)c1ccc2ccccc2n1,999.0
CSCCC(N)C(=O)O,999.0
O=C(O)c1cccnc1,999.0
Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,999.0
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,999.0
NC(Cc1ccc(O)c(O)c1)C(=O)O,999.0
N=c1nc(O)c2nc[nH]c2[nH]1,999.0
O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,999.0
N=c1nc(O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,999.0
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,999.0
N=c1ccnc(O)[nH]1,999.0
O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,999.0
Oc1nc(O)c2nc[nH]c2n1,999.0
N=C(N)NCC(=O)O,999.0
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,999.0
NCCCCC(=O)O,999.0
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,999.0
NCCc1c[nH]c2ccccc12,999.0
COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,999.0
CC(OP(=O)(O)O)C(N)C(=O)O,999.0
NC(CCS)C(=O)O,999.0
CSCCC(N)C(=O)O,999.0
NC(CS)C(=O)O,999.0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,999.0
NCCCC(=O)O,999.0
Nc1nc[nH]c2ncnc1-2,999.0
c1ccc(CNCc2ccccc2)cc1,999.0
O=C(O)CC1OCC=C2CN3CCC45C6=CC(=O)C(=O)C([N+](=O)[O-])=C6NC4C1C2CC35,999.0
Cn1c(=O)c2nc[nH]c2n(C)c1=O,999.0
NC(CCCC(N)C(=O)O)C(=O)O,999.0
NCCS(=O)(=O)O,999.0
CCCC(N)C(=O)O,999.0
NC(CCCC(=O)O)C(=O)O,999.0
CCC(C)C(N)C(=O)O,999.0
COc1ccc2[nH]cc(CC(N)C(=O)O)c2c1,999.0
CC(C)(C)C(N)C(=O)O,999.0
