Unnamed: 0,NAME,InChIKey,Precursor_type,Spectrum_type,PrecursorMZ,Ion_mode,Collision_energy,Formula,MW,ExactMass,SMILES,InChI,computedSMILES,RT,NumPeaks,Peaks
218,3-Glu-28-Xyl(1-4)[Api(1-3)]Rha(1-2)Ara Medicagenic acid,ADIBRWUTYMYVDH-DUIVSVLLSA-N,[M-H]-,MS2,1205.562,N,63.9592,C57H90O27,1206,1206.566948,[C@H]1([C@@H]([C@@](C2[C@](C1)(C1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@](CC2)(CCC(C1)(C)C)C(=O)O[C@H]1[C@@H]([C@H]([C@H](CO1)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O[C@@H]1OC[C@]([C@H]1O)(O)CO)O)C)C)C)(C)C(=O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O,"InChI=1S/C57H90O27/c1-23-39(80-44-36(67)32(63)27(61)19-75-44)40(81-48-42(70)57(74,21-59)22-77-48)38(69)46(78-23)82-41-33(64)28(62)20-76-47(41)84-50(73)56-14-12-51(2,3)16-25(56)24-8-9-30-52(4)17-26(60)43(83-45-37(68)35(66)34(65)29(18-58)79-45)55(7,49(71)72)31(52)10-11-54(30,6)53(24,5)13-15-56/h8,23,25-48,58-70,74H,9-22H2,1-7H3,(H,71,72)/t23-,25-,26-,27+,28-,29+,30?,31?,32-,33-,34+,35-,36+,37+,38+,39-,40-,41+,42-,43-,44-,45-,46-,47-,48-,52+,53+,54+,55-,56-,57+/m0/s1",O=C(O)C1(C)C(OC2OC(CO)C(O)C(O)C2O)C(O)CC3(C)C1CCC4(C)C3CC=C5C6CC(C)(C)CCC6(C(=O)OC7OCC(O)C(O)C7OC8OC(C)C(OC9OCC(O)C(O)C9O)C(OC%10OCC(O)(CO)C%10O)C8O)CCC54C,808.2,39,"['113.0240 1.601602', '205.0709 1.101101', '233.0693 2.802803', '277.0879 4.604605', '285.0841 1.101101', '337.1135 23.623624', '409.1273 3.403403', '409.1486 2.302302', '439.3217 35.835836', '440.3109 1.801802', '440.3291 6.006006', '441.3257 1.701702', '469.1533 17.317317', '469.1729 1.101101', '485.3335 1.501502', '541.1953 2.002002', '643.3370 1.101101', '731.3908 5.305305', '733.4228 1.101101', '793.4128 2.402402', '981.4893 4.704705', '981.5215 3.403403', '981.5681 1.301301', '982.5126 2.002002', '983.5052 1.701702', '1203.5337 7.307307', '1203.5803 4.504505', '1204.0769 1.001001', '1204.5160 1.601602', '1204.5549 2.502503', '1205.5071 1.801802', '1205.5627 100.000000', '1205.7332 1.101101', '1206.5558 56.556557', '1207.5701 18.718719', '1208.5377 1.301301', '1208.5845 2.302302', '1209.5436 1.401401', '1209.6198 1.801802']"
782,Hesperetin,AIONOLUJZLIMTK-AWEZNQCLSA-N,[M-H]-,MS2,301.07,N,40,C16H14O6,302,302.0790382,COc1ccc(cc1O)[C@@H]2CC(=O)c3c(cc(cc3O2)O)O,"InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1",O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(OC)C(O)=C3)C1,623.4,23,"['107.0142 11.911912', '108.0231 87.987988', '123.0103 16.516517', '124.0172 23.223223', '134.0379 79.479479', '135.0448 20.620621', '136.0169 100.000000', '151.0042 56.756757', '152.0116 11.211211', '158.0418 13.913914', '159.0421 11.311311', '164.0118 53.353353', '174.0321 12.112112', '196.0011 15.815816', '199.0394 12.812813', '200.0430 11.311311', '201.0188 11.611612', '214.0667 14.114114', '240.0420 10.910911', '241.0513 24.524525', '242.0600 18.718719', '243.0297 11.211211', '285.0403 35.535536']"
598,Neohesperidin,ARGKVCXINMKCAZ-UZRWAPQLSA-N,[M-H]-,MS2,609.1804,N,40,C28H34O15,610,610.1897704,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2Oc3cc(c4c(c3)O[C@@H](CC4=O)c5ccc(c(c5)O)OC)O)CO)O)O)O)O)O,"InChI=1S/C28H34O15/c1-10-21(33)23(35)25(37)27(39-10)43-26-24(36)22(34)19(9-29)42-28(26)40-12-6-14(31)20-15(32)8-17(41-18(20)7-12)11-3-4-16(38-2)13(30)5-11/h3-7,10,17,19,21-31,33-37H,8-9H2,1-2H3/t10-,17-,19+,21-,22+,23+,24-,25+,26+,27-,28+/m0/s1",O=C1C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC4OC(C)C(O)C(O)C4O)C=C2OC(C5=CC=C(OC)C(O)=C5)C1,447,13,"['257.0806 3.003003', '258.0568 2.902903', '283.0607 2.102102', '286.0494 4.404404', '301.0710 100.000000', '302.0735 16.816817', '303.0796 2.902903', '325.0700 2.102102', '343.0849 2.402402', '489.1377 4.704705', '609.1804 19.219219', '610.1847 4.604605', '611.1868 2.002002']"
976,Tricetin,ARSRJFRKVXALTF-UHFFFAOYSA-N,[M-H]-,MS2,301.0396,N,40,C15H10O7,302,302.0426527,c1c(cc(c(c1O)O)O)c2cc(=O)c3c(cc(cc3o2)O)O,"InChI=1S/C15H10O7/c16-7-3-8(17)14-9(18)5-12(22-13(14)4-7)6-1-10(19)15(21)11(20)2-6/h1-5,16-17,19-21H",O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=C(O)C(O)=C(O)C3,390,6,"['149.0275 100.000000', '150.0300 15.615616', '151.0083 13.813814', '191.0382 12.012012', '227.0403 10.310310', '301.0396 20.120120']"
19,3-(Glu(1-3)Glu)-28-(Rha(4-O-acetyl)(1-2)Ara) Zanhic acid,BFDLDIKIPJXHON-QLFUKLNHSA-N,[M-H]-,MS2,1161.536,N,83.0788,C55H86O26,1162,1162.540733,[C@H]1([C@@H]([C@@](C2[C@](C1)(C1[C@@](CC2)([C@]2(C(=CC1)[C@H]1[C@@]([C@@H](C2)O)(CCC(C1)(C)C)C(=O)O[C@H]1[C@@H]([C@H]([C@H](CO1)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)OC(=O)C)O)O)C)C)C)(C)C(=O)O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)O)CO)O,"InChI=1S/C55H86O26/c1-21-40(75-22(2)58)36(66)38(68)44(74-21)79-42-32(62)26(60)20-73-47(42)81-49(72)55-14-13-50(3,4)15-24(55)23-9-10-29-51(5)16-25(59)43(54(8,48(70)71)30(51)11-12-52(29,6)53(23,7)17-31(55)61)80-46-39(69)41(34(64)28(19-57)77-46)78-45-37(67)35(65)33(63)27(18-56)76-45/h9,21,24-47,56-57,59-69H,10-20H2,1-8H3,(H,70,71)/t21-,24-,25-,26-,27+,28+,29?,30?,31+,32-,33+,34+,35-,36-,37+,38+,39+,40-,41-,42+,43-,44-,45-,46-,47-,51+,52+,53+,54-,55+/m0/s1",O=C(O)C1(C)C(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)CC4(C)C1CCC5(C)C4CC=C6C7CC(C)(C)CCC7(C(=O)OC8OCC(O)C(O)C8OC9OC(C)C(OC(=O)C)C(O)C9O)C(O)CC65C,806.4,36,"['101.024 4.704705', '102.027 0.100100', '113.025 100.000000', '114.028 5.605606', '115.029 0.500501', '115.033 0.200200', '119.035 5.305305', '125.023 0.100100', '127.038 0.100100', '131.035 1.401401', '143.035 2.602603', '145.051 0.500501', '149.045 0.800801', '161.045 14.214214', '162.047 0.700701', '179.055 3.203203', '205.071 2.102102', '206.076 0.100100', '247.082 2.502503', '289.092 0.200200', '375.307 0.200200', '391.301 1.901902', '392.305 0.300300', '393.316 1.801802', '394.318 0.500501', '409.302 0.200200', '409.313 0.400400', '437.307 1.301301', '438.307 0.200200', '455.268 0.100100', '455.317 61.561562', '456.320 17.817818', '457.323 2.702703', '497.324 0.200200', '499.307 0.100100', '2152.749 0.100100']"
1017,"Luteolin-7,3'-di-O-glucoside",BISZYPSIZGKOFA-ODYYMYHNSA-N,[M-H]-,MS2,609.14,N,60,C27H30O16,610,610.1533849,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O,"InChI=1S/C27H30O16/c28-7-17-20(33)22(35)24(37)26(42-17)39-10-4-12(31)19-13(32)6-14(40-16(19)5-10)9-1-2-11(30)15(3-9)41-27-25(38)23(36)21(34)18(8-29)43-27/h1-6,17-18,20-31,33-38H,7-8H2/t17?,18?,20-,21-,22-,23-,24?,25?,26-,27-/m1/s1",O=C1C=C(OC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C12)C=4C=CC(O)=C(OC5OC(CO)C(O)C(O)C5O)C4,288,8,"['255.0318 4.404404', '283.0280 8.208208', '284.0351 39.039039', '285.0431 100.000000', '286.0465 15.815816', '287.0474 2.702703', '447.0956 6.806807', '448.1028 2.002002']"
569,Silychristin,BMLIIPOXVWESJG-LMBCONBSSA-N,[M-H]-,MS2,481.1148,N,20,C25H22O10,482,482.1212969,COc1cc(ccc1O)[C@H]2[C@@H](c3cc(cc(c3O2)O)[C@@H]4[C@H](C(=O)c5c(cc(cc5O4)O)O)O)CO,"InChI=1S/C25H22O10/c1-33-18-6-10(2-3-15(18)28)23-14(9-26)13-4-11(5-17(30)25(13)35-23)24-22(32)21(31)20-16(29)7-12(27)8-19(20)34-24/h2-8,14,22-24,26-30,32H,9H2,1H3/t14-,22+,23+,24-/m1/s1",O=C1C=2C(O)=CC(O)=CC2OC(C3=CC(O)=C4OC(C5=CC=C(O)C(OC)=C5)C(C4=C3)CO)C1O,447,22,"['125.0255 35.835836', '179.0011 14.114114', '325.0750 45.945946', '326.0763 9.609610', '337.0719 22.722723', '355.0848 46.046046', '356.0867 9.909910', '407.1182 13.313313', '419.1149 18.718719', '423.1119 10.110110', '433.0951 37.637638', '434.1005 21.421421', '435.1099 17.217217', '436.1158 9.109109', '437.1284 11.111111', '451.1063 53.653654', '452.1133 12.012012', '453.1195 31.831832', '463.1084 39.039039', '464.1084 14.914915', '481.1148 100.000000', '482.1194 34.734735']"
31,"3-Glu-3,4',7-trihydroxyisoflavanone",BTODFHHNMFOZHK-FEUJFKKFSA-N,[M-H]-,MS2,433.115,N,33.7385,C21H22O10,434,434.1212969,c1(ccc2c(c1)OCC(C2=O)(c1ccc(cc1)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O,"InChI=1S/C21H22O10/c22-8-15-16(25)17(26)18(27)20(30-15)31-21(10-1-3-11(23)4-2-10)9-29-14-7-12(24)5-6-13(14)19(21)28/h1-7,15-18,20,22-27H,8-9H2/t15-,16-,17+,18-,20+,21?/m1/s1",O=C1C2=CC=C(O)C=C2OCC1(OC3OC(CO)C(O)C(O)C3O)C4=CC=C(O)C=C4,225.72,26,"['108.0216 0.500501', '109.0282 1.501502', '117.0334 1.001001', '135.0093 2.802803', '136.0131 0.300300', '137.0209 0.700701', '137.0257 1.201201', '163.0030 0.600601', '163.0369 0.200200', '164.0094 0.300300', '165.0195 2.302302', '167.0350 0.300300', '223.0447 1.001001', '224.0470 2.602603', '225.0541 3.603604', '243.0654 7.007007', '244.0679 0.400400', '252.0401 0.500501', '253.0503 100.000000', '254.0533 15.315315', '255.0582 1.201201', '271.0603 4.504505', '327.0716 4.804805', '328.0788 0.300300', '433.1128 12.412412', '434.1171 2.602603']"
805,"3,6,3',4'-Tetrahydroxyflavone",BXPBSBBFPNTFFT-UHFFFAOYSA-N,[M-H]-,MS2,285.0406,N,20,C15H10O6,286,286.047738,c1cc(c(cc1c2c(c(=O)c3cc(ccc3o2)O)O)O)O,"InChI=1S/C15H10O6/c16-8-2-4-12-9(6-8)13(19)14(20)15(21-12)7-1-3-10(17)11(18)5-7/h1-6,16-18,20H",O=C1C(O)=C(OC2=CC=C(O)C=C12)C=3C=CC(O)=C(O)C3,406.8,24,"['121.0298 29.729730', '122.0323 2.802803', '135.0088 24.024024', '149.0256 4.904905', '163.0039 33.533534', '183.0437 6.606607', '199.0419 2.302302', '211.0391 7.407407', '213.0502 2.702703', '226.0275 3.803804', '227.0348 33.433433', '228.0394 8.308308', '229.0503 23.223223', '239.0345 55.855856', '240.0387 16.916917', '241.0491 10.110110', '255.0297 24.024024', '256.0342 3.103103', '257.0462 22.022022', '258.0499 2.402402', '283.0245 25.725726', '284.0267 5.705706', '285.0406 100.000000', '286.0451 14.114114']"
1112,"Boswellic acid, alpha",BZXULBWGROURAF-IKNLXHIFSA-N,[M-H]-,MS2,455.3568,N,40,C30H48O3,456,456.3603454,C[C@@]12CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@H]([C@]5(C)C(=O)O)O)C)C)[C@@H]1CC(CC2)(C)C)C,"InChI=1S/C30H48O3/c1-25(2)14-15-26(3)16-17-28(5)19(20(26)18-25)8-9-21-27(4)12-11-23(31)30(7,24(32)33)22(27)10-13-29(21,28)6/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21+,22+,23+,26+,27+,28+,29+,30+/m0/s1",O=C(O)C1(C)C(O)CCC2(C)C3CC=C4C5CC(C)(C)CCC5(C)CCC4(C)C3(C)CCC12,1946.4,8,"['375.3082 6.106106', '377.3228 7.707708', '409.3111 6.206206', '409.3508 6.806807', '437.3434 6.806807', '453.3416 7.007007', '455.3568 100.000000', '456.3601 28.128128']"
